season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1997,1,1997-04-12T00:00:00+00:00,Admirals,3,16,Claymores
1997,1,1997-04-12T00:00:00+00:00,Fire,12,27,Dragons
1997,1,1997-04-13T00:00:00+00:00,Monarchs,14,7,Galaxy
1997,2,1997-04-19T00:00:00+00:00,Galaxy,19,10,Admirals
1997,2,1997-04-20T00:00:00+00:00,Claymores,7,20,Dragons
1997,2,1997-04-20T00:00:00+00:00,Fire,28,6,Monarchs
1997,3,1997-04-26T00:00:00+00:00,Admirals,34,6,Monarchs
1997,3,1997-04-26T00:00:00+00:00,Dragons,10,17,Galaxy
1997,3,1997-04-27T00:00:00+00:00,Claymores,10,23,Fire
1997,4,1997-05-03T00:00:00+00:00,Admirals,23,20,Fire
1997,4,1997-05-03T00:00:00+00:00,Galaxy,3,9,Claymores
1997,4,1997-05-04T00:00:00+00:00,Monarchs,32,37,Dragons
1997,5,1997-05-10T00:00:00+00:00,Fire,10,7,Galaxy
1997,5,1997-05-11T00:00:00+00:00,Dragons,28,21,Admirals
1997,5,1997-05-11T00:00:00+00:00,Monarchs,16,8,Claymores
1997,6,1997-05-17T00:00:00+00:00,Claymores,10,6,Admirals
1997,6,1997-05-17T00:00:00+00:00,Dragons,7,9,Monarchs
1997,6,1997-05-17T00:00:00+00:00,Galaxy,20,21,Fire
1997,7,1997-05-24T00:00:00+00:00,Admirals,26,21,Dragons
1997,7,1997-05-24T00:00:00+00:00,Galaxy,31,7,Monarchs
1997,7,1997-05-25T00:00:00+00:00,Fire,20,23,Claymores
1997,8,1997-05-31T00:00:00+00:00,Claymores,24,7,Galaxy
1997,8,1997-05-31T00:00:00+00:00,Dragons,23,38,Fire
1997,8,1997-06-01T00:00:00+00:00,Monarchs,9,13,Admirals
1997,9,1997-06-07T00:00:00+00:00,Claymores,9,10,Monarchs
1997,9,1997-06-07T00:00:00+00:00,Fire,24,0,Admirals
1997,9,1997-06-07T00:00:00+00:00,Galaxy,29,17,Dragons
1997,10,1997-06-14T00:00:00+00:00,Admirals,20,7,Galaxy
1997,10,1997-06-14T00:00:00+00:00,Dragons,46,18,Claymores
1997,10,1997-06-15T00:00:00+00:00,Monarchs,7,10,Fire
1997,11,1997-06-22T00:00:00+00:00,Dragons,38,24,Fire
