season,week,kickoff,home_team,home_score,visitors_score,visiting_team
1995,1,1995-04-08T00:00:00+00:00,Admirals,17,13,Dragons
1995,1,1995-04-08T00:00:00+00:00,Galaxy,45,22,Monarchs
1995,1,1995-04-09T00:00:00+00:00,Claymores,17,19,Fire
1995,2,1995-04-15T00:00:00+00:00,Admirals,14,12,Galaxy
1995,2,1995-04-15T00:00:00+00:00,Fire,7,23,Monarchs
1995,2,1995-04-17T00:00:00+00:00,Dragons,10,7,Claymores
1995,3,1995-04-22T00:00:00+00:00,Galaxy,14,20,Claymores
1995,3,1995-04-23T00:00:00+00:00,Dragons,32,30,Fire
1995,3,1995-04-23T00:00:00+00:00,Monarchs,10,17,Admirals
1995,4,1995-04-30T00:00:00+00:00,Claymores,0,31,Admirals
1995,4,1995-04-30T00:00:00+00:00,Fire,21,20,Galaxy
1995,4,1995-04-30T00:00:00+00:00,Monarchs,24,39,Dragons
1995,5,1995-05-06T00:00:00+00:00,Admirals,30,10,Fire
1995,5,1995-05-06T00:00:00+00:00,Galaxy,24,20,Dragons
1995,5,1995-05-07T00:00:00+00:00,Claymores,10,11,Monarchs
1995,6,1995-05-13T00:00:00+00:00,Dragons,34,40,Admirals
1995,6,1995-05-13T00:00:00+00:00,Fire,33,27,Claymores
1995,6,1995-05-15T00:00:00+00:00,Monarchs,7,27,Galaxy
1995,7,1995-05-20T00:00:00+00:00,Admirals,30,13,Claymores
1995,7,1995-05-20T00:00:00+00:00,Dragons,22,27,Monarchs
1995,7,1995-05-20T00:00:00+00:00,Galaxy,28,41,Fire
1995,8,1995-05-27T00:00:00+00:00,Claymores,13,16,Dragons
1995,8,1995-05-28T00:00:00+00:00,Galaxy,28,13,Admirals
1995,8,1995-05-29T00:00:00+00:00,Monarchs,34,14,Fire
1995,9,1995-06-03T00:00:00+00:00,Admirals,17,7,Monarchs
1995,9,1995-06-03T00:00:00+00:00,Fire,21,31,Dragons
1995,9,1995-06-04T00:00:00+00:00,Claymores,24,37,Galaxy
1995,10,1995-06-10T00:00:00+00:00,Dragons,20,44,Galaxy
1995,10,1995-06-10T00:00:00+00:00,Fire,25,37,Admirals
1995,10,1995-06-10T00:00:00+00:00,Monarchs,9,22,Claymores
1995,11,1995-06-17T00:00:00+00:00,Admirals,22,26,Galaxy
