season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2001,1,2001-04-21T00:00:00+00:00,Claymores,24,21,Galaxy
2001,1,2001-04-21T00:00:00+00:00,Fire,24,20,Admirals
2001,1,2001-04-21T00:00:00+00:00,Thunder,14,21,Dragons
2001,2,2001-04-28T00:00:00+00:00,Admirals,14,10,Claymores
2001,2,2001-04-28T00:00:00+00:00,Dragons,24,12,Fire
2001,2,2001-04-28T00:00:00+00:00,Galaxy,20,28,Thunder
2001,3,2001-05-05T00:00:00+00:00,Admirals,28,14,Galaxy
2001,3,2001-05-05T00:00:00+00:00,Fire,21,27,Dragons
2001,3,2001-05-06T00:00:00+00:00,Claymores,28,21,Thunder
2001,4,2001-05-12T00:00:00+00:00,Dragons,31,14,Admirals
2001,4,2001-05-12T00:00:00+00:00,Galaxy,27,17,Claymores
2001,4,2001-05-12T00:00:00+00:00,Thunder,23,17,Fire
2001,5,2001-05-19T00:00:00+00:00,Admirals,33,13,Dragons
2001,5,2001-05-19T00:00:00+00:00,Thunder,34,25,Galaxy
2001,5,2001-05-20T00:00:00+00:00,Fire,10,3,Claymores
2001,6,2001-05-26T00:00:00+00:00,Dragons,55,35,Thunder
2001,6,2001-05-27T00:00:00+00:00,Claymores,17,7,Admirals
2001,6,2001-05-27T00:00:00+00:00,Galaxy,5,22,Fire
2001,7,2001-06-02T00:00:00+00:00,Admirals,17,14,Fire
2001,7,2001-06-02T00:00:00+00:00,Dragons,31,20,Galaxy
2001,7,2001-06-02T00:00:00+00:00,Thunder,27,19,Claymores
2001,8,2001-06-09T00:00:00+00:00,Galaxy,28,23,Admirals
2001,8,2001-06-10T00:00:00+00:00,Claymores,9,14,Dragons
2001,8,2001-06-10T00:00:00+00:00,Fire,16,13,Thunder
2001,9,2001-06-16T00:00:00+00:00,Thunder,41,10,Admirals
2001,9,2001-06-17T00:00:00+00:00,Dragons,26,7,Claymores
2001,9,2001-06-17T00:00:00+00:00,Fire,17,13,Galaxy
2001,10,2001-06-23T00:00:00+00:00,Claymores,34,21,Fire
2001,10,2001-06-23T00:00:00+00:00,Galaxy,26,10,Dragons
2001,10,2001-06-24T00:00:00+00:00,Admirals,28,34,Thunder
2001,11,2001-06-30T00:00:00+00:00,Dragons,17,24,Thunder
