season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2005,1,2005-04-02T00:00:00+00:00,Admirals,24,14,Fire
2005,1,2005-04-02T00:00:00+00:00,Centurions,24,23,Sea Devils
2005,1,2005-04-02T00:00:00+00:00,Thunder,30,7,Galaxy
2005,2,2005-04-09T00:00:00+00:00,Galaxy,23,14,Admirals
2005,2,2005-04-10T00:00:00+00:00,Fire,10,23,Centurions
2005,2,2005-04-10T00:00:00+00:00,Thunder,15,13,Sea Devils
2005,3,2005-04-16T00:00:00+00:00,Admirals,31,27,Thunder
2005,3,2005-04-16T00:00:00+00:00,Centurions,23,14,Galaxy
2005,3,2005-04-16T00:00:00+00:00,Sea Devils,31,24,Fire
2005,4,2005-04-23T00:00:00+00:00,Centurions,24,37,Admirals
2005,4,2005-04-23T00:00:00+00:00,Fire,28,30,Thunder
2005,4,2005-04-23T00:00:00+00:00,Galaxy,10,30,Sea Devils
2005,5,2005-04-30T00:00:00+00:00,Galaxy,23,20,Fire
2005,5,2005-04-30T00:00:00+00:00,Sea Devils,23,6,Centurions
2005,5,2005-04-30T00:00:00+00:00,Thunder,27,16,Admirals
2005,6,2005-05-07T00:00:00+00:00,Fire,24,19,Sea Devils
2005,6,2005-05-08T00:00:00+00:00,Admirals,48,10,Galaxy
2005,6,2005-05-08T00:00:00+00:00,Centurions,23,17,Thunder
2005,7,2005-05-14T00:00:00+00:00,Galaxy,17,20,Centurions
2005,7,2005-05-14T00:00:00+00:00,Sea Devils,30,24,Admirals
2005,7,2005-05-14T00:00:00+00:00,Thunder,24,15,Fire
2005,8,2005-05-21T00:00:00+00:00,Fire,13,20,Galaxy
2005,8,2005-05-22T00:00:00+00:00,Sea Devils,17,27,Thunder
2005,8,2005-05-23T00:00:00+00:00,Admirals,30,12,Centurions
2005,9,2005-05-28T00:00:00+00:00,Galaxy,24,31,Thunder
2005,9,2005-05-29T00:00:00+00:00,Admirals,27,10,Sea Devils
2005,9,2005-05-29T00:00:00+00:00,Centurions,16,28,Fire
2005,10,2005-06-04T00:00:00+00:00,Fire,27,14,Admirals
2005,10,2005-06-04T00:00:00+00:00,Sea Devils,17,15,Galaxy
2005,10,2005-06-05T00:00:00+00:00,Thunder,13,17,Centurions
2005,11,2005-06-11T00:00:00+00:00,Thunder,21,27,Admirals
